genre,60s,70s,80s,90s,00s,10s,20s
acoustic,13,9,8,27,66,466,89
alt-country,13,21,7,54,28,148,36
alternative,0,54,94,272,301,1342,554
alternative rock,17,189,1385,4477,5706,11186,4407
ambient,2,14,34,181,257,1182,655
black metal,0,0,6,100,175,461,244
blues,741,590,514,794,702,2919,1959
britpop,90,88,76,45,30,150,51
chillout,0,0,0,2,19,66,30
chillwave,0,0,0,0,8,286,218
christian,0,2,36,86,195,534,224
classic rock,100,1136,771,378,404,770,414
classical,20,232,163,196,327,1868,1047
cloud rap,0,0,2,10,22,1352,563
comedy,3,1,34,148,140,369,140
country,412,834,743,1177,1265,3509,2030
dance,44,42,155,454,544,1384,605
dancehall,0,0,13,62,123,707,330
death metal,0,0,52,260,480,845,323
deathcore,0,0,0,2,90,596,160
disco,39,331,273,113,128,392,213
doom metal,0,0,16,70,98,340,172
dream pop,0,0,57,156,225,965,249
drum and bass,0,0,0,11,58,733,422
dub,1,29,32,18,329,429,287
dubstep,0,0,0,2,45,402,128
electro,1,3,8,76,82,318,115
electronic,39,665,1026,1275,1858,6899,2933
electropop,1,4,3,254,749,2897,1841
emo,1,0,0,98,605,1774,471
emo rap,0,0,0,0,0,830,423
experimental,12,94,132,174,446,1268,450
folk,532,1569,1036,1209,1916,4928,1878
funk,134,553,315,190,312,1737,1272
garage rock,49,77,74,72,141,481,124
gospel,205,223,48,138,275,499,400
grime,0,0,1,0,65,354,168
grunge,0,47,92,445,242,386,183
hard rock,344,853,850,809,1032,2709,1074
hardcore,0,0,44,78,175,469,189
heavy metal,23,788,1411,1419,1345,2813,1316
hip hop,480,712,1346,6861,13560,101084,50960
hip-hop,2,1,63,1006,1292,2295,1496
house,0,4,78,175,204,777,420
indie,1,4,23,265,887,2510,902
indie pop,7,11,104,434,1040,4731,1664
indie rock,3,30,181,1490,2999,8523,2721
industrial,0,4,98,272,188,602,263
j-pop,0,4,5,7,46,329,248
jazz,481,467,521,786,1227,3689,2828
k-pop,0,0,0,0,37,358,736
latin,8,1,6,43,37,462,224
lo-fi,0,1,5,126,180,1013,367
math rock,0,0,1,61,92,211,80
melodic death metal,0,0,10,124,334,660,136
metal,0,540,1094,1629,2169,3866,1738
metalcore,0,0,0,54,417,2048,703
new wave,17,335,1065,374,327,1087,594
nu metal,0,0,0,198,482,493,305
pop,1537,2752,3474,4479,5376,15755,9316
pop punk,0,61,82,197,577,1409,469
pop rock,412,1584,1902,1907,2031,4951,2135
post-hardcore,0,1,4,113,480,2111,573
post-punk,11,101,339,172,256,1053,406
power metal,0,1,42,163,232,703,243
progressive metal,0,0,199,320,656,1390,523
progressive rock,340,883,619,718,693,2274,1236
psychedelic,3,7,2,13,25,143,31
psychedelic rock,660,814,287,369,287,1554,580
punk,11,409,807,1122,1287,2799,1093
punk rock,1,292,458,627,710,1746,600
rap,2,44,129,462,1220,6766,3125
reggae,7,103,242,343,1127,1889,2050
reggaeton,0,0,0,1,2,14,11
rnb,80,92,130,263,314,715,433
rock,1684,5448,6007,7941,8710,17622,8229
screamo,0,0,0,0,192,373,118
shoegaze,0,0,11,454,191,710,207
soul,375,768,609,1061,1220,4053,2048
soundtrack,11,44,46,97,249,1301,639
swing,112,37,32,176,148,838,802
synthpop,46,278,1195,541,776,2384,1166
techno,0,33,16,42,28,420,103
thrash metal,0,0,244,363,286,590,456
trance,0,2,21,91,110,960,475
trap,0,0,1,29,261,7501,4206
trip-hop,0,0,0,97,123,118,63
worship,0,0,0,10,46,225,45
